BP.
GSK
HSBA
VOD
RBOS
AZN
SHEL
SHEB
LLOY
BARC
HBOS
DGE
ULVR
BT.A
BATS
TSCO
RIO
AV.
AAL
BSY
ANL
BG.
CBRY
BA.
PRU
NGG
IMT
MKS
RB.
STAN
SPW
CPG
REL
CNA
BLT
SBRY
LAT
LGEN
SSE
BAA
WPP
SXC
BOOT
SCTN
KGF
ABF
PSON
GUS
SAB
RTO
BOC
ALLD
GLH
LAND
AL.
SMIN
AHM
CW.
RTR
OOM
UU.
SN.
ICI
EMG
III
WOS
AVZ
DXNS
MRW
HG.
OML
NRK
POC
HNS
NXT
BLND
SHP
SFW
CWG
FP.
GAA
RR.
SVT
BB.
DMGT
DMGO
HAS
ISYS
EXL
BNZL
RSA
JMAT
BI.
GKN
REX
AUN
EMA
FRCL
CPI
TOMK
LII
TATE
HMSO
EMI
KEL
BAY
WTB
SGE
RNK
XTA
CS.
EZJ
PO.
AWG
SLOU
SIG
BPB
PFG
ARM
SDR
SDRC
ECM
MSY
RMC
ABP
IPR
RTK
EGG
JLT
ATST
TNI
CCH
CHB
CCM
DEB
LSE
TPK
MTN
JPR
WMH
WTAN
LMI
BBA
ANTO
FGP
COB
AGG
PILK
PNN
PSN
WMPY
IMI
NFDS
UBM
AMEC
IAP
SMWH
BDEV
WG.
BRBY
SMT
TWOD
CLF
CTT
LOG
BKL
MLC
CTM
ETI
EDIN
BBY
AGS
BRT
WLB
MFI
NEX
MT.
SRP
FMN
DVSG
CBG
VRD
BGY
JDW
FKI
THO
PFL
STJ
TNN
RCP
SPT
CPW
GAL
ARI
SCIN

ITRK
DLAR
AVE
SCR
PLL
INCH
NVR
GNK
BXTN
BWNG
ETL
MGGT
KID
SSL
LEX
FCD
SOF
CWA
DCG
CLDN
AG.
MPI
CCC
CNE
BVIT
MDK
BWY
GPOR
HLMA
LMR
HMV
SXS
MNKS
WEIR
JJB
CAP
WOLV
TEM
SMDS
SLY
CPR
BKB
PHY
TFG
TSG
SGC
JRVS
MSLH
NEW
YULC
BVS
SLF
PUB
CO.
AGK
CMG
CTY
ICP
LMSO
LMSD
SAT
WRC
IRV
TBI
RDW
MNR
EUS
WBY
GMG
DFS
PJP
GRG
DWV
VTG
FPT
BSET
GET
SIV
BOY
SSF
MCA
SVI
CLLN
MRCH
AML
HTE
FTF
ELTA
MLE
WLW
CRDA
CHS
MTO
TLW
FLMJ
SKS
DVR
GPG
PMO
ATK
BNKR
CSH
SHB
MCTY
QED
FIS
WSNC
FEV
TMPL
DDT
PIZ
TBG
SPX
MUT
SKP
GOG
SHI
XAN
SMG
EXR
CRI
NTG
PZC
PZCA
RSW
AGA
BTEM
SFL
MYI
MYIB
ASL
FUT
AMY
JAM
ROR
ULE
MNU
STS
FCU
FCV
TRY
DJAN
DIG
FRS
TSS
IOT
FOV
HSX
MFW
UTF
BGC
LNGO
GWG
BRE
HBR
ERM
ENO
RAT
TOX
GRI
BMK
LWDB
CDI
RPS
HLCL
BGE
WGC
CAT
FDL
NSR
PLI
WIN
MWLM
CRST
ADN
PAG
WMY
ACM
TTG
KCOM
CMS
SRH
ABG
SVC
VCT
LMC
MAS
BOS
CWK
HEAD
SCAM
MGCR
MSN
CLI
AQP
FPR
WKP
HME
SAVL
MOR
KIE
CKSN
LARD
BPG
UTV
COX
MNP
HEG
DGG
INF
MNZS
FCP
ALG
AAT
INT
VDY
GPE
JSG
RCDO
HTL
PON
TRG
CAL
FNET
JVH
SMP
MEN
ALV
PCT
CLY
MLW
AOT
UNIQ
FCCN
AU.
RSG
AHH
WNER
ABA
VTC
HOL
FCS
AHT
PDG
TDG
THRG
LSB
UBR
HOF
BUT
BAB
ABSC
ABSI
PJT
MKLW
DNX
SNI
HYWD
GOS
DLTA
GEO
OGS
FWP
NHP
CRTO
BULM
ESP
HRI
SIA
TIG
GYG
GRT
ACL
ELM
JZE
IEG
GAW
PHS
DNO
KLR
THUS
EID
SDU
KIN
BPK
PLR
HPI
CHTR
BPP
GSD
SEP
CYD
BFP
ESH
UTG
SDY
JPF
MMC
MRT
SRF
GUL
JRTC
JRTI
IGI
VPC
RPC
MLA
MLAB
BTSM
MGNS
PRH
BRW
UKC
HSL
CTR
TBEI
EFM
HNL
DNK
MDH
CMP
TRB
CTC
CC.
AZL
AIE
AAP
BLZ
HTG
RXO
REG
TTC
SGP
MWB
PYM
DVO
RWD
WHM
FMG
SUF
TPT
DRK
ITA
JD.
HHR
DSC
MNCA
MNCB
ITN
JGIZ
JGIX
BMY
MDN
MAJE
SVS
EUK
CDB
ASG
MTVW
IEI
JFF
AXN
ASD
EBR
TBS
OXIG
PEA
MCB
ADS
RGU
GLE
HAB
FENR
MONI
FSV
BYG
BHM
SCF
JMF
HVY
TBK
WAGN
KGN
ECW
ECWC
WMG
SNR
ABU
TFA
ALY
RYB
LIO
SDP
YTE
JMY
PNL
HIT
BPI
FEM
WIL
TOPS
LWI
NIS
MRN
FCT
TCSC
FIT
CHW
BSLA
PSD
BTW
MRX
DTIC
DTI
DCM
MTC
MCKS
TBE
BAG
SJG
PIN
MACF
SPLS
SPLA
SPLB
DKH
ADD
MCHL
CHG
SYN
CHLD
MTLB
GGL
DEI
GMGA
CAM
EXD
SCV
ITE
DCA
ISQ
SHRS
BRJK
GFRD
EIN
MDY
BWD
TMX
CAY
JPS
MGR
IVI
WUN
NSI
HFE
FTC
BHG
MPS
CGS
DTG
BHY
LFS
RWA
RM.
ICAI
ICAC
MLU
ARK
DPLM
LRI
SIP
THT
OCK
FPP
SVB
COST
SMON
BGFD
TCP
WSH
DNE
NCH
SCPA
UMC
FSTA
WGG
ASHL
WHT
ALM
HDYS
RFD
SUY
MYR
CUK
BRAM
FSJ
PHTM
MLIN
IIT
ISO
MEQI
MEQC
EMH
JEL
CHY
BLK
MIV
UAT
RUT
ALK
LNB
BEL
DPH
ARE
EWI
VIN
SPO
RST
TEP
AVV
XEN
LOOK
BTT
HANA
HAN
LSLI
SRG
TRK
DEP
DWN
NAS
HHI
TWT
LWB
REO
CSV
KLZ
VAN
JEO
JPI
SHL
FGT
PAC
BTB
SFR
HHO
BDW
DVW
GRD
FRU
DIA
BRDN
EQPC
EQPI
EDFD
YNGN
YNGA
QMOT
SUS
BTM
BGG
DTZ
FAS
CPE
ENN
IPU
ELD
HDU
SGR
RWEV
HCU
GST
BWB
PIC
GMX
FCX
MEG
BVC
IAT
WTT
DNDL
SCU
HNE
JPU
IMG
GMF
PEQ
DYS
HSI
UVS
PNA
AXO
IXP
GIR
STW
MTU
TWG
FJV
BBB
GGO
ESY
ECT
BPO
TTT
RHG
CTO
LVD
RLG
PKN
BRI
ABD
FIG
AVON
MAL
SHG
VP.
SEF
IQE
PRV
QUT
CRG
NSB
RSFT
BID
NAE
LJH
FER
HEC
EDG
HFI
KCT
NTX
DSE
DSEK
ADU
NICL
FMC
ALU
UAV
GAN
DWM
ISI
ITU
ESGN
PTI
HILS
CNR
WHY
RYG
TRI
JEH
ELH
ARD
SJE
SMC
MNE
WDSW
BBG
RNO
KXD
JII
VER
FTT
LMBT
PLM
IBT
AAV
SMJ
MCP
PLN
BII
LPT
BLM
MLFI
MLFG
PTY
AZM
DWSN
BQE
PFM
ANO
SHD
TCI
SHC
JHT
NRI
AUW
BOI
MCE
HVR
ROK
GSM
FLN
EFS
ATR
RIIC
RIII
AFHI
AFHC
VLX
ITL
MGHI
MGHC
PHI
HYL
OKR
LTY
CVC
LGU
TAD
NTV
MLB
AIC
FBDU
CSLT
BGS
GHT
KBC
WTM
BIE
BED
AAS
INS
BFM
PKG
MCR
MVM
RES
PDT
ZTTR
BGBK
SIXH
NVT
SRDR
BRS
NCU
MGTI
MGTC
XAR
IEM
PUA
MTI
SDL
CHU
SPLI
HEU
SST
ESA
TPC
WPFI
WPFC
HRO
RUG
QUS
GEN
JPG
MCJ
INM
MAE
ASM
FRX
GPT
MAIL
PHP
HRN
AEP
ICM
PCH
FRNI
FRNC
UKT
MYV
OXB
MRS
IPE
JDT
ZTF
CKN
AIP
